Domain,Full Name,Title,LinkedIn Profile
https://certifid.com,Lawrence Duthler,Co-Founder,http://www.linkedin.com/in/lawrenceduthler
https://certifid.com,Thomas Cronkright,Co-Founder,http://www.linkedin.com/in/thomas-cronkright-328a9818
https://certifid.com,Morgan Whaley,Engineering Manager,http://www.linkedin.com/in/morganraewhaley
https://certifid.com,Tyler Adams,Co-founder & CEO,https://www.linkedin.com/in/tylerhadams/
https://www.espressosys.com/,Charles Lu,Co-Founder,http://www.linkedin.com/in/charleslu1
https://www.espressosys.com/,Averi Gerberding,Chief of Staff,http://www.linkedin.com/in/averi-gerberding-60375853
https://www.espressosys.com/,Fernando Krell,VP of Engineering,http://www.linkedin.com/in/fernando-krell-040b0523
https://loft.sh/,Fabian Kramm,"CTO, Co-Founder",http://www.linkedin.com/in/fabiankramm
https://loft.sh/,Daniel Thiry,Chief Of Staff,http://www.linkedin.com/in/danielthiry
https://loft.sh/,Piotr Zaniewski,Head of Engineering Enablement,http://www.linkedin.com/in/piotr-zaniewski-012b3135
https://loft.sh/,Denise Schannon,VP of Engineering,http://www.linkedin.com/in/denise-schannon-0b5760a2
https://loft.sh/,Alexandra Dragodan,Engineering Manager,http://www.linkedin.com/in/alexandra-dragodan-396b07137
https://loft.sh/,Lukas Gentele,CEO,http://www.linkedin.com/in/gentele
https://www.elisity.com/,Burjiz Pithawala,Co-Founder,http://www.linkedin.com/in/burjiz-pithawala-7180477
https://www.elisity.com/,Ester Nespoli,Chief of Staff,http://www.linkedin.com/in/ester-nespoli-ab6407a0
https://www.elisity.com/,Brian Thompson,COO,http://www.linkedin.com/in/brian-thompson-907a365
https://www.elisity.com/,Piotr Boguszewski,VP of Engineering,http://www.linkedin.com/in/piotr-boguszewski-mba-780a94
https://www.elisity.com/,James Winebrenner,Chief Executive Officer,http://www.linkedin.com/in/jamesmwinebrenner
https://www.elisity.com/,Piotr Kupisiewicz,Chief Technology Officer,http://www.linkedin.com/in/piotr-kupisiewicz-381a8814
http://luminarycloud.com/,,,
https://co.bot,Sarah Rathbun,"VP, Talent Acquisition",http://www.linkedin.com/in/sarahrathbun
https://co.bot,Brad Porter,Founder and CEO,http://www.linkedin.com/in/brad-porter-1a989
https://co.bot,Jane Mooney,Co-Founder,http://www.linkedin.com/in/jane-mooney-6a1065b
https://co.bot,Steph Tryphonas,VP Operations,http://www.linkedin.com/in/steph-tryphonas-70a937
https://co.bot,Dale,Staff Recruiter,https://www.linkedin.com/in/jessi-dale-0b966236/
https://www.graphiant.com,,,
https://coalesce.io,,,
https://www.todyl.com/,David Dewey,Chief Technology Officer,http://www.linkedin.com/in/david-dewey-76095488
https://www.todyl.com/,Adam Freedman,Director of Talent,http://www.linkedin.com/in/adam-freedman-
https://www.todyl.com/,Darrin Swan,Co-Founder,http://www.linkedin.com/in/darrinswan
https://www.todyl.com/,James Pellizzi,Co-Founder,http://www.linkedin.com/in/james-pellizzi-2b3a453
